#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
INSULT_PIGFACE;pigface;de face de cochon;[Root.GetGesichtskrapfenHackfresse];;caracerdo;;;;;;;;;x # child - chaste gluttonous
RULE_DEJURE;Dynamic De Jure Drift;Autorité de jure dynamique;Dynamische De-jure-Anpassung;;Dinámica de desviación de jure;;;;;;;;;x
RULE_OPTION_RESTRICTED;Restricted;Avec restriction;Beschränkt;;Reservado;;;;;;;;;x
RULE_DYNAMIC_REALMS;§BCharlemagne:§! Custom Realms;Pays personnalisés (§BCharlemagne§!);§BCharlemagne:§! Benutzerdefinierte Reiche;;§BCharlemagne:§! Reinos personalizados;;;;;;;;;x
RULE_DIPLO_RANGE;Diplomatic Range;Portée diplomatique;Diplomatische Reichweite;;Alcance diplomático;;;;;;;;;x
#RULE_CHILDREN;Bears;Ours;Bären;;Osos;;;;;;;;;x
RULE_ACHIEVEMENTS_WARNINGS; §RThis setting disables achievements!§!; §RCe réglage désactive les succès Steam !§!; §RDiese Einstellung deaktiviert Errungenschaften!§!;; §R¡Este ajuste desactiva los logros!§!;;;;;;;;;x
RULE_SHATTERED_RETREAT_ON_DESC;Armies will try to retreat into friendly or otherwise safe territory. Retreating armies cannot be engaged by enemy forces. Movement Speed and Morale Regain Rate is increased for retreating armies.;Les armées en déroute essaieront de se rendre en territoire ami ou du moins sans danger et ne peuvent être attaquées. Leur vitesse de mouvement et leur regain du moral sont augmentés.;Armeen versuchen, sich in verbündetes oder sicheres Gebiet zurückzuziehen. Armeen auf dem Rückzug können nicht angegriffen werden und erhalten höhere Bewegungsrate und Moral-Regeneration.;;Los ejércitos intentarán retirarse a territorio amigo o seguro. Los ejércitos en retirada no pueden ser atacados por fuerzas enemigas y aumentan su velocidad de movimiento y recuperación de moral.;;;;;;;;;x
RULE_SHATTERED_RETREAT_OFF_DESC;Retreating armies will move into a neighboring county. This tends to make the game easier.;Les armées en déroute se rendront dans un comté voisin. Ceci a tendance à rendre le jeu plus facile.;Armeen auf dem Rückzug ziehen in eine benachbarte Provinz. Dadurch wird das Spiel für gewöhnlich einfacher.;;Los ejércitos en retirada se moverán a las provincias vecinas. Esto suele hacer el juego más fácil.;;;;;;;;;x
RULE_AZTEC_INVASION_HISTORICAL_DESC;The Aztec Invasion will occur at the very earliest in the 13th century.;L'invasion aztèque se produira au plus tôt au XIIIe siècle.;Die Aztekische Invasion findet frühestens im 13. Jahrhundert statt.;;La invasión azteca ocurrirá como muy pronto en el siglo XIII.;;;;;;;;;x
RULE_AZTEC_INVASION_RANDOM_DESC;The Aztec Invasion will occur at a random date, though at the earliest 50 years after the game is started.;L'invasion aztèque se produira à une date aléatoire, mais au plus tôt 50 ans après le début de la partie.;Die Aztekische Invasion findet an einem zufällig festgelegten Zeitpunkt statt, aber frühestens 50 Jahre nach Spielstart.;;La invasión azteca ocurrirá en una fecha al azar, aunque como muy pronto, 50 años después de empezar el juego.;;;;;;;;;x
RULE_AZTEC_INVASION_OFF_DESC;The Aztec Invasion will not occur.;L'invasion aztèque ne se produira pas.;Die Aztekische Invasion findet nicht statt.;;La invasión azteca no tendrá lugar.;;;;;;;;;x
RULE_DEFENSIVE_PACTS_ON_DESC;Characters are allowed to join Defensive Pacts against realms who are Threatening. If a member is attacked by the target, all other members will defend them.;Les personnages sont autorisés à rejoindre des pactes défensifs contre des pays qui représentent une menace. Si un membre est attaqué par la cible, tous les autres membres le défendront.;Personen dürfen Verteidigungspakten gegen andere Reiche, die bedrohlich sind, beitreten. Wird ein Mitglied vom Ziel angegriffen, helfen alle anderen Mitglieder bei der Verteidigung.;;Los personajes podrán unirse a Pactos defensivos contra reinos Amenazantes. Si un miembro es atacado por el objetivo, todos los demás miembros lo defenderán.;;;;;;;;;x
RULE_DEFENSIVE_PACTS_OFF_DESC;Characters are not allowed to join Defensive Pacts against realms who are Threatening. This tends to make the game easier.;Les personnages ne sont pas autorisés à rejoindre des pactes défensifs contre des pays qui représentent une menace. Ceci a tendance à rendre le jeu plus facile.;Personen dürfen keinen Verteidigungspakten gegen andere Reiche, die bedrohlich sind, beitreten. Dadurch wird das Spiel für gewöhnlich einfacher.;;Los personajes no podrán unirse a Pactos defensivos contra reinos Amenazantes. Esto suele hacer el juego más fácil.;;;;;;;;;x
RULE_GENDER_DEFAULT_DESC;The various Gender Laws are enabled as per default. Specific cultures and religions may allow/disallow Gender Laws. The Conclave 'Status of Women' set of laws is available.;Les lois selon le genre sont permises ou non par des cultures ou des religions spécifiques. Les lois sur le statut des femmes du DLC 'Le Conseil' sont disponibles.;Gleichstellungsgesetze sind standardmäßig aktiviert und bestimmte Kulturen und Religionen können diese erlauben/verbieten. Die Gesetze zum Status der Frau aus Conclave sind verfügbar.;;Las diferentes Leyes de Sexos están habilitadas por defecto. Culturas y religiones específicas pueden permitir/rechazar Leyes de sexos. El conjunto de leyes 'Estatus de las mujeres' del Cónclave está disponible.;;;;;;;;;x
RULE_GENDER_HISTORICAL_DESC;The various Gender Laws are enabled as per default. Specific cultures and religions may allow/disallow Gender Laws. The Conclave 'Status of Women' set of laws is not available.;Les lois selon le genre sont permises ou non par des cultures ou des religions spécifiques. Les lois sur le statut des femmes du DLC 'Le Conseil' ne sont pas disponibles.;Gleichstellungsgesetze sind standardmäßig aktiviert und bestimmte Kulturen und Religionen können diese erlauben/verbieten. Die Gesetze zum Status der Frau aus Conclave sind nicht verfügbar.;;Las diferentes Leyes de Sexos están habilitadas por defecto. Culturas y religiones específicas pueden permitir/rechazar Leyes de sexos. El conjunto de leyes 'Estatus de las mujeres' del Cónclave no está disponible.;;;;;;;;;x
RULE_GENDER_ALL_DESC;The game will play as if the 'Status of Women' law would be maxed out for everyone. The Conclave 'Status of Women' set of laws is unavailable for everyone.;Le jeu se déroule comme si le statut complet des femmes était en vigueur dans toutes les cours. Les lois sur le statut des femmes du DLC 'Le Conseil' ne sont pas disponibles.;Das Spiel behandelt das Gesetz Status der Frau, als sei es auf der höchsten Stufe. Die Gesetze zum Status der Frau aus Conclave sind nicht verfügbar.;;El juego se jugará como si la ley 'Estatus de las mujeres' estuviera al máximo para todos. El conjunto de leyes 'Estatus de las mujeres' del Cónclave no está disponible para nadie.;;;;;;;;;x
RULE_MONGOL_INVASION_HISTORICAL_DESC;The Mongol Horde will invade between the years of 1210 and 1218.;La Horde mongole fera une invasion entre l'an 1210 et l'an 1218.;Die mongolische Horde fällt zwischen den Jahren 1210 und 1218 ein.;;La Horda mongola invadirá entre los años 1210 y 1218.;;;;;;;;;x
RULE_MONGOL_INVASION_RANDOM_DESC;The Mongol Horde will invade at a random date, though at the earliest 50 years after the game is started.;La Horde mongole fera une invasion à une date aléatoire, mais au plus tôt 50 ans après le début de la partie.;Die mongolische Horde fällt an einem zufällig festgelegten Zeitpunkt ein, aber frühestens 50 Jahre nach Spielstart.;;La Horda mongola invadirá en una fecha al azar. Como muy pronto, 50 años después de empezar el juego.;;;;;;;;;x
RULE_MONGOL_INVASION_OFF_DESC;The Mongol Horde will not invade, but it can still be formed through the decision.;La Horde mongole ne fera pas d'invasion, mais peut quand même être formée par la décision spécifique.;Die mongolische Horde fällt nicht ein, kann aber trotzdem durch die entsprechende Entscheidung gebildet werden.;;El Horda mongola no invadirá, pero puede seguir formándose según decisiones.;;;;;;;;;x
RULE_RAIDING_HISTORICAL_DESC;A character can raid if the Government, Culture and/or Religion of the character allows it.;Un personnage peut piller si son gouvernement, sa culture ou sa religion le permet.;Eine Person kann Raubzüge durchführen, wenn die Regierung, Kultur und/oder Religion der Person es erlauben.;;Un personaje puede realizar una incursión si el Gobierno, Cultura y/o Religión del mismo lo permiten.;;;;;;;;;x
RULE_RAIDING_UNRESTRICTED_DESC;All characters can raid, regardless of Government, Culture and/or Religion.;Tous les personnages peuvent piller, peu importe son gouvernement, sa culture ou sa religion.;Alle Personen können Raubzüge durchführen, unabhängig von Regierung, Kultur und/oder Religion.;;Todos los personajes pueden realizar una incursión, sin importar Gobierno, Cultura y/o Religión.;;;;;;;;;x
RULE_RAIDING_OFF_DESC;No character is allowed to raid, with the sole exception of Raiding Adventurers. §RWARNING: This also prevents Viking raids!§!;Aucun personnage n'est autorisé à piller, à part les aventuriers. §RCette règle empêche aussi les pillages vikings !§!;Nur Plündererabenteurer können Raubzüge durchführen. §RWARNUNG: Dadurch werden auch Wikingerüberfälle deaktiviert!§!;;Ningún personaje podrá realizar incursiones, con la única excepción de Aventureros asaltantes. §RADVERTENCIA: ¡Esto también previene las incursiones vikingas!§!;;;;;;;;;x
#RULE_EPIDEMICS_HISTORICAL_DESC;The Bubonic Plague will appear between the years of 1300 and 1400.;La peste bubonique apparaît entre l'an 1300 et l'an 1400.;Die Beulenpest bricht zwischen den Jahren 1300 und 1400 aus.;;La Peste bubónica aparecerá entre los años 1300 y 1400.;;;;;;;;;x
#RULE_EPIDEMICS_DYNAMIC_DESC;The Bubonic Plague will appear at the very earliest 200 years after the game has started. After one major outbreak the epidemic will become endemic.;La peste bubonique apparaît au plus tôt 200 ans après le début de la partie.;Die Beulenpest bricht frühestens 200 Jahre nach Spielstart aus. Nach einem großen Ausbruch wird die Epidemie endemisch.;;La Peste bubónica aparecerá como muy pronto, 200 años después de empezar el juego. Tras un brote importante la epidemia se convertirá en endémica.;;;;;;;;;x
RULE_EPIDEMICS_DEADLY_DESC;The Bubonic Plague will appear frequently and be extraordinarily deadly. §RWARNING: This setting is not recommended for a normal game!§!;La peste bubonique apparaît fréquemment et est extraordinairement meurtrière. §RCette règle n'est pas recommandée pour une partie normale.§!;Die Beulenpest bricht häufig aus und ist äußerst tödlich. §RWARNUNG: Diese Einstellung wird für normale Spiele nicht empfohlen!§!;;La Peste bubónica aparecerá con frecuencia y será extraordinariamente mortal. §RADVERTENCIA: ¡No se recomienda este ajuste para un juego normal!§!;;;;;;;;;x
RULE_SUPERNATURAL_ON_DESC;Events that can be interpreted as supernatural may appear during the game.;Les événements pouvant être interprétés comme surnaturels peuvent survenir durant la partie.;Ereignisse, die als übernatürlich gewertet werden können, können während des Spiels auftreten.;;Durante el juego pueden aparecer eventos que se pueden interpretar como sobrenaturales.;;;;;;;;;x
RULE_SUPERNATURAL_OFF_DESC;No events that can be interpreted as supernatural may appear during the game.;Aucun événement pouvant être interprété comme surnaturel ne peut survenir durant la partie.;Ereignisse, die als übernatürlich gewertet werden können, können während des Spiels nicht auftreten.;;Durante el juego no aparecerán eventos que se pueden interpretar como sobrenaturales.;;;;;;;;;x
RULE_FLANDERS_HRE_DESC;Flanders is part of the Holy Roman Empire's De Jure territory.;La Flandre appartient au territoire de jure du Saint-Empire.;Flandern ist Teil des De-jure-Gebiets des Heiligen Römischen Reichs.;;Flandes es parte del territorio De Jure del Sacro Imperio Romano;;;;;;;;;x
RULE_ADVENTURERS_NORMAL_DESC;Claimant and Raiding Adventurers will appear as per default.;Les prétendants et les aventuriers apparaîtront comme par défaut.;Anspruchsteller- und Plündererabenteurer erscheinen standardmäßig.;;Pretendiente y Aventureros asaltantes aparecerán por defecto.;;;;;;;;;x
RULE_ADVENTURERS_RARE_DESC;Claimant and Raiding Adventurers will appear with less frequency.;Les prétendants et les aventuriers apparaîtront moins fréquemment.;Anspruchsteller- und Plündererabenteurer erscheinen weniger häufig.;;Pretendiente y Aventureros asaltantes aparecerán con menos frecuencia.;;;;;;;;;x
RULE_ADVENTURERS_NONE_DESC;No Claimant or Raiding Adventurers will appear, with the exception of landless Nomads and specific event-spawned Adventurers.;Aucun prétendant ni aucun aventurier n'apparaîtront, hormis les nomades sans terre et les aventuriers engendrés par un événement.;Es erscheinen keine Anspruchsteller- und Plündererabenteurer außer landlosen Nomaden und speziellen, an Ereignisse gebundenen Abenteurern.;;No aparecerá ningún Pretendiente o Aventureros asaltantes, a excepción de Nómadas sin tierras y de Aventureros creados por un evento específico.;;;;;;;;;x
RULE_PROVINCE_REVOLTS_NORMAL_DESC;Random Provincial Revolts will occur at a normal rate.;Les révoltes provinciales aléatoires se produisent à une fréquence normale.;Zufällige provinziale Aufstände treten mit normaler Häufigkeit auf.;;Revueltas provinciales aleatorias ocurrirán con una frecuencia normal.;;;;;;;;;x
RULE_PROVINCE_REVOLTS_RARE_DESC;Random Provincial Revolts will be less frequent.;Les révoltes provinciales aléatoires se produisent moins fréquemment.;Zufällige provinziale Aufstände treten weniger häufig auf.;;Revueltas provinciales aleatorias serán menos frecuentes.;;;;;;;;;x
RULE_PROVINCE_REVOLTS_NONE_DESC;Random Provincial Revolts will be disabled.;Les révoltes provinciales aléatoires ne se produisent jamais.;Zufällige provinziale Aufstände sind deaktiviert.;;Se desactivarán las revueltas provinciales aleatorias.;;;;;;;;;x
RULE_REGENCIES_ON_DESC;Underage, incapable or otherwise unavailable characters will be assigned a Regent.;Les personnages mineurs, incapables ou autrement indisponibles se verront assigner un régent.;Minderjährigen, unfähigen oder anderweitig nicht verfügbaren Personen wird ein Regent zugewiesen.;;A los personajes menores de edad, incapaces o no disponibles por otros motivos, se les asignará un Regente.;;;;;;;;;x
RULE_REGENCIES_OFF_DESC;Underage, incapable or otherwise unavailable characters will not be assigned a Regent.;Les personnages mineurs, incapables ou autrement indisponibles ne se verront pas assigner un régent.;Minderjährigen, unfähigen oder anderweitig nicht verfügbaren Personen wird kein Regent zugewiesen.;;A los personajes menores de edad, incapaces o no disponibles por otros motivos no se les asignará un Regente.;;;;;;;;;x
RULE_DEJURE_DEFAULT_DESC;The dynamic De Jure drift of titles is allowed and unrestricted.;Le changement dynamique du territoire de jure des titres est permis et sans restriction.;Die dynamische De-jure-Anpassung für Titel ist erlaubt und unbeschränkt.;;Se permite la deriva dinámica de títulos De Jure y sin restricciones.;;;;;;;;;x
RULE_DEJURE_RESTRICTED_DESC;The dynamic De Jure drift of titles is allowed, but restricted. Drift can only happen if titles border each other.;Le changement dynamique du territoire de jure des titres est permis, mais restreint.;Die dynamische De-jure-Anpassung für Titel ist erlaubt, aber beschränkt. Anpassungen finden nur statt, wenn Titel aneinander angrenzen.;;Se permite la deriva dinámica de títulos De Jure, pero restringida. Solo se permite la deriva si los títulos lindan entre sí.;;;;;;;;;x
RULE_DEJURE_OFF_DESC;Dynamic De Jure drift is disabled.;Le changement dynamique du territoire de jure des titres est désactivé.;Die dynamische De-jure-Anpassung ist deaktiviert.;;La deriva dinámica De Jure está desactivada.;;;;;;;;;x
RULE_DYNAMIC_REALMS_ON_DESC;The creation of custom non-historical Kingdoms and Empires is allowed.;La création de royaumes et empires anhistoriques personnalisés est permise.;Das Erstellen von benutzerdefinierten, nicht-historischen König- und Kaiserreichen ist erlaubt.;;Se permite la creación de Reinos y de Imperios no históricos personalizados.;;;;;;;;;x
RULE_DYNAMIC_REALMS_OFF_DESC;The creation of custom non-historical Kingdoms and Empires is disallowed.;La création de royaumes et empires anhistoriques personnalisés n'est pas permise.;Das Erstellen von benutzerdefinierten, nicht-historischen König- und Kaiserreichen ist nicht erlaubt.;;No se permite la creación de Reinos y de Imperios no históricos personalizados.;;;;;;;;;x
RULE_DIPLO_RANGE_ON_DESC;Diplomatic Range will be enforced, limiting the distance in which characters might interact.;La portée diplomatique est appliquée, limitant ainsi la distance à laquelle les personnages peuvent interagir.;Diplomatische Reichweite wird erzwungen, was die Entfernung, über welche Personen interagieren könnten, einschränkt.;;Se impondrá el Alcance diplomático, limitando la distancia a la cual los personajes pueden interactuar.;;;;;;;;;x
RULE_DIPLO_RANGE_OFF_DESC;Diplomatic Range will not be enforced, allowing characters to interact fully regardless of their distance to each other.;La portée diplomatique n'est pas appliquée, permettant aux personnages d'interagir pleinement malgré la distance les séparant.;Diplomatische Reichweite wird nicht erzwungen, sodass Personen unabhängig von der Entfernung uneingeschränkt miteinander interagieren können.;;No se impondrá el Alcance diplomático, permitiendo que los personajes interactúen por completo, sin importar su distancia.;;;;;;;;;x
GAME_RULE_TRIGGER_TOOLTIP;Game Rule §Y$RULE$§! has value: §Y$OPTION$§!\n;La règle de jeu '§Y$RULE$§!' a comme valeur '§Y$OPTION$§!'\n;Spielparameter §Y$RULE$§! hat folgenden Wert: §Y$OPTION$§!\n;;Regla de juego §Y$RULE$§! tiene valor: ¡§Y$OPTION$§!;;;;;;;;;x
GAME_RULE_TRIGGER_TOOLTIP_NOT;Game Rule §Y$RULE$§! doesn't have value: §Y$OPTION$§!\n;La règle de jeu '§Y$RULE$§!' n'a pas comme valeur '§Y$OPTION$§!'\n;Spielparameter §Y$RULE$§! hat nicht folgenden Wert: §Y$OPTION$§!\n;;Regla de juego §Y$RULE$§! no tiene valor: ¡§Y$OPTION$§!;;;;;;;;;x
RULE_DIPLO_RANGE_RESTRICTED_DESC;Diplomatic Range will be further restricted, halving the distance in which characters can interact.;La portée diplomatique est réduite de moitié.;Diplomatische Reichweite wird noch weiter eingeschränkt, sodass die Entfernung, zwischen der Personen interagieren können, halbiert wird.;;Alcance diplomático será aún más restringido, reduciendo a la mitad la distancia a la cual los personajes pueden interactuar.;;;;;;;;;x
alert_nomad_agitation_instant;§YNomad Agitation§!;§YAgitation de nomades§!;§YAufgebrachte Nomaden§!;;¡§YInquietud nómada§!;;;;;;;;;x
alert_nomad_agitation_name;Nomad Agitation;Agitation de nomades;Aufgebrachte Nomaden;;Inquietud nómada;;;;;;;;;x
alert_nomad_agitation_delayed;Unless we construct a §YCastle§! or §YCity§! in the following Counties, they will revert to Nomad control on Succession:\n$LIST$;À moins de construire un §Ychâteau§! ou une §Ycité§! dans les comtés suivants, ceux-ci retourneront au nomadisme à la succession :\n$LIST$;Falls wir keine §YBurg§! oder §YStadt§! in den folgenden Grafschaften errichten, wird die Kontrolle dort im Nachfolgefall wieder von Nomaden übernommen:\n$LIST$;;A menos que construyamos un §YCastillo§! o §YCiudad§! en los siguientes condados, regresarán al control nómada en la Sucesión:\n$LIST$;;;;;;;;;x
