#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
GOD_WESHPARKAR;Weshparkar;Weshparkar;Weshparkar;;Weshparkar;;;;;;;;;x
GOD_PARN;Parn;Parn;Parn;;Parn;;;;;;;;;x
GOD_NANAIYA;Nanaiya;Nanaiya;Nanaiya;;Nanaiya;;;;;;;;;x
GOD_WISHAGHN;Wishaghn;Wishaghn;Wishaghn;;Wishaghn;;;;;;;;;x
GOD_ZARVANA;Zarvana;Zarvana;Zarvana;;Zarvana;;;;;;;;;x
patrons_khu;Choose a Patron Deity;Choisir une divinité protectrice;Schutzgott wählen;;Elegir una deidad patrona;;;;;;;;;x
patrons_khu_desc;You can choose a personal patron from among the many lesser deities of Zarvanan faith.;Vous pouvez choisir une divinité protectrice parmi les nombreuses divinités inférieures de la foi de Zarvana.;Ihr könnt einen persönlichen Schutzpatron aus den vielen kleineren Gottheiten des Zarvanan-Glaubens auswählen.;;Puedes elegir un patrón persona entre las muchas deidades menores de la fe zarvana.;;;;;;;;;x
#EVTDESC39800;I should dedicate myself to a particular deity so that I may rule more effectively.;;Ich sollte mich einer bestimmten Gottheit widmen, damit ich effektiver regieren kann.;;Me consagraré a una deidad particular para gobernar con mayor eficacia.;;;;;;;;;x
EVTOPTA_39800;Desi, the Bountiful one;Desi, le Bienfaisant;Desi, die Großzügige;;Desi, el pródigo;;;;;;;;;x
EVTOPTB_39800;Parn, God of Fortune;Parn, dieu de la Fortune;Parn, Gott des Glücks;;Parn, dios de la fortuna;;;;;;;;;x
EVTOPTC_39800;Nanaiya, the Sensual one;Nanaya la Sensuelle;Nanaiya, die Sinnliche;;Nanaiya, la sensual;;;;;;;;;x
EVTOPTD_39800;There are others...;Il y en a d'autres...;Es gibt andere...;;Hay otros…;;;;;;;;;x
#EVTDESC39801;Choosing any of these as a personal deity would be a testament to my piety.;;Die Wahl eines persönlichen Schutzgottes wäre ein Testament für meine Frömmigkeit.;;Elegir cualquiera de estos como deidad personal sería testimonio de mi piedad.;;;;;;;;;x
EVTOPTA_39801;Weshparkar, the Wind God;Weshparkar, le dieu du Vent;Weshparkar, Gott des Windes;;Weshparkar, dios del viento;;;;;;;;;x
EVTOPTB_39801;Wishaghn, God of Victory;Wishaghn, le dieu de la Victoire;Wishaghn, Gott des Sieges;;Wishaghn, dios de la victoria;;;;;;;;;x
EVTOPTC_39801;Zurvan, God of Time;Zurvan, le dieu du Temps;Zurvan, Gott der Zeit;;Zurván, dios del tiempo;;;;;;;;;x
EVTOPTD_39801;On second thought...;À la réflexion...;Wenn ich so drüber nachdenke...;;Pensándolo mejor…;;;;;;;;;x
patron_desi;Patron Deity: Desi;Divinité protectrice: Desi;Schutzgott: Desi;;Deidad patrona: Desi;;;;;;;;;x
patron_parn;Patron Deity: Parn;Divinité protectrice: Parn;Schutzgott: Parn;;Deidad patrona: Parn;;;;;;;;;x
patron_nanaiya;Patron Deity: Nanaiya;Divinité protectrice: Nanaya;Schutzgott: Nanaiya;;Deidad patrona: Nanaiya;;;;;;;;;x
patron_weshparkar;Patron Deity: Weshparkar;Divinité protectrice: Weshparkar;Schutzgott: Weshparkar;;Deidad patrona: Weshparkar;;;;;;;;;x
patron_wishaghn;Patron Deity: Wishaghn;Divinité protectrice: Wishaghn;Schutzgott: Wishaghn;;Deidad patrona: Wishaghn;;;;;;;;;x
patron_zurvan;Patron Deity: Zurvan;Divinité protectrice: Zurvan;Schutzgott: Zurvan;;Deidad patrona: Zurván;;;;;;;;;x
VAYNPAT;Vaynpat;vaynpat;Vaynpat;;Vaynpat;;;;;;;;;x
job_spiritual_khurmazta;Moypat;Moypat;Moypat;;Moypat;;;;;;;;;x
secret_khurmazta_community;Secret Khurmazta Community;Communauté secrète khurmazta;Geheime Khurmazta-Gemeinde;;Comunidad khurmazta secreta;;;;;;;;;x
secret_khurmazta_community_desc;In secret, Khurmazta faithfuls have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles khurmazta ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Khurmazta-Gläubige heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;Los fieles del khurmazta han organizado en secreto una pequeña comunidad de culto en esta provincia. Desde ahí convierte a otros, crece y protege a los suyos.;;;;;;;;;x
tb_desert_stable_1;Desert Riders;Chevaucheurs du désert;Wüstenreiter;;Jinetes del desierto;;;;;;;;;x
tb_desert_stable_2;Desert Riders;Chevaucheurs du désert;Wüstenreiter;;Jinetes del desierto;;;;;;;;;x
tb_desert_stable_3;Desert Riders;Chevaucheurs du désert;Wüstenreiter;;Jinetes del desierto;;;;;;;;;x
tb_desert_stable_4;Desert Riders;Chevaucheurs du désert;Wüstenreiter;;Jinetes del desierto;;;;;;;;;x
tb_desert_stable_desc;Desert enviroment requires hardy mounts and equally hardy riders to control them. In times of war, these warriors provide vital cavalry support to a tribal ruler.;L'environnement désertique implique de grandes montagnes et des cavaliers robustes pour les maîtriser. En temps de guerre, ces guerriers fournissent un soutien vital de cavalerie à un souverain tribal.;Die Wüstenumgebung erfordert robuste Reittiere und ebenso robuste Reiter, um sie zu kontrollieren. In Kriegszeiten bieten diese Krieger eine lebenswichtige Kavallerie-Unterstützung für einen Stammes-Herrscher;;El ambiente desértico requiere monturas resistentes y jinetes igual de resistentes para controlarlas. En tiempos de guerra, estos guerreros proporcionarán un apoyo de caballería vital a un gobernante tribal.;;;;;;;;;x
ca_desert_stable_desc;These stables provide a ruler with a cadre of mobile mounted troops, ideally suited for skirmish warfare.;Ces écuries fournissent un groupe de troupes montées mobiles, idéal pour la guerre d'escarmouche.;Diese Ställe bieten einem Herrscher ein Kader mobiler Truppen, die ideal für Scharmützelkriege geeignet sind.;;Estos establos proporcionan un cuadro de tropas montadas de caballería, perfectamente apropiadas para la guerra de escaramuzas.;;;;;;;;;x
ca_desert_stable_1;Desert Cavalry;Cavalerie du désert;Wüsten-Kavallerie;;Caballería del desierto;;;;;;;;;x
ca_desert_stable_2;Desert Cavalry;Cavalerie du désert;Wüsten-Kavallerie;;Caballería del desierto;;;;;;;;;x
ca_desert_stable_3;Desert Cavalry;Cavalerie du désert;Wüsten-Kavallerie;;Caballería del desierto;;;;;;;;;x
ca_desert_stable_4;Desert Cavalry;Cavalerie du désert;Wüsten-Kavallerie;;Caballería del desierto;;;;;;;;;x
form_st_anthony_desc;Call forth warriors to defend the Miaphysite faith.;Appelle les guerriers à défendre la foi miaphysite.;Krieger aufrufen, um den miaphysitischen Glauben zu schützen.;;Convoca guerreros para defender la fe miafisita.;;;;;;;;;x
form_st_anthony;Form the Order of Saint Anthony;Former l'Ordre de saint Antoine;Orden des Heiligen Antonius gründen;;Forma la Orden de San Antonio;;;;;;;;;x
EVTDESC39810;As the world is plunged into a period of holy wars, [From.GetTitledName] has called forth the greatest warriors of the land to defend the Patriarch of Alexandria. This newly formed order of Saint Anthony will safeguard the Miaphysite faith against all heathens.;Alors que le monde est plongé dans une période de guerres saintes, [From.GetTitledName] a appelé les plus grands guerriers du pays à défendre le Patriarche d'Alexandrie. Cet ordre de saint Antoine protégera la foi miaphysite contre tous les infidèles.;Als die Welt in eine Zeit der heiligen Kriege stürzte, hat [From.GetTitledName] die größten Krieger des Landes ausgerufen, um den Patriarchen von Alexandria zu verteidigen. Dieser neugebildete Orden des Heiligen Antonius wird den miaphysitischen Glauben gegen alle Heiden schützen.;;Cuando el mundo cae en un periodo de guerras santas, [From.GetTitledName] ha llamado a los mejores guerreros de la región para defender al Patriarca de Alejandría. Esta nueva orden de San Antonio defenderá la fe miafisita contra todos los infieles.;;;;;;;;;x
EVTTITLE39810;The Order of Saint Anthony;L'Ordre de saint Antoine;Der Orden des Heiligen Antonius;;La Orden de San Antonio;;;;;;;;;x
EVT_39810_TT;The Order of Saint Anthony is formed;L'Ordre de saint Antoine est formé;Der Orden des Heiligen Antonius wurde gegründet;;Se forma la Orden de San Antonio;;;;;;;;;x
RULE_SIEGE_ASSAULTS;Siege Assaults;Assauts de siège;Belagerungsangriffe;;Asaltos de asedio;;;;;;;;;x
RULE_SIEGE_ASSAULTS_ON_DESC;Armies can attempt to take besieged Holdings by storm if the Fort Level is lower than 6.;Les armées peuvent tenter de prendre d'assaut les propriétés assiégées si le niveau de fortification est inférieur à 6.;Armeen können versuchen, belagerte Besitztümer zu stürmen, wenn die Festungsstufe niedriger als 6 ist.;;Ejércitos pueden intentar asaltar las posesiones asediadas si el nivel de fortaleza es menor que 6.;;;;;;;;;x
RULE_SIEGE_ASSAULTS_UNLIMITED_DESC;Armies can always attempt to take besieged Holdings by storm.;Les armées peuvent toujours tenter de prendre d'assaut les propriétés assiégées;Armeen können jederzeit versuchen, belagerte Besitztümer zu stürmen.;;Ejércitos siempre pueden intentar asaltar las posesiones asediadas.;;;;;;;;;x
RULE_SIEGE_ASSAULTS_OFF_DESC;Armies cannot take besieged Holdings by storm.;Les armées ne peuvent pas tenter de prendre d'assaut les propriétés assiégées;Armeen können belagerte Besitztümer nicht stürmen.;;Ejércitos NO pueden asaltar las posesiones asediadas.;;;;;;;;;x
ASSAULT_FORT_LEVEL_TOO_HIGH;Not possible to Assault Holdings with a Fort Level of $LEVEL|Y$ or above;Impossible de prendre d'assaut avec un niveau de fortification d'au moins $LEVEL|Y$;Es ist nicht möglich ein Besitztum mit einer Festungsstufe von $LEVEL|Y$ oder höher zu stürmen;;No se pueden asaltar posesiones con Nivel de fortaleza $LEVEL|Y$ o superior;;;;;;;;;x
COMBATVALUE_MORALE_SIEGE;§YMorale:§! $MORALE$\nLosing $DELTA|R$ every $FREQ|Y$ days;§YMoral:§! $MORALE$\nPerd $DELTA|R$ tous les $FREQ|Y$ jours;§YMoral:§! $MORALE$\nVerliert alle $FREQ|Y$ Tage $DELTA|R$;;§YMoral:§! $MORALE$\nPierde $DELTA|R$ cada $FREQ|Y$ días;;;;;;;;;x
SIEGE_TECH_DIFF;Siege Tech Diff;Différence de technologie de siège;Belagerungstech Diff.;;Dif. Tecn. Asedio;;;;;;;;;x
assyrian;Assyrian;assyrienne;Assyrisch;;Asirio;;;;;;;;;x
form_st_addai_desc;Call forth warriors to defend Nestorian faith.;Appelle les guerriers à défendre la foi nestorienne.;Krieger aufrufen, um den nestorischen Glauben zu schützen.;;Convoca guerreros para defender la fe nestoriana;;;;;;;;;x
form_st_addai;Form the Order of Saint Addai;Former l'Ordre de saint Addaï;Orden des Heiligen Thaddeus;;Forma la Orden de San Addai;;;;;;;;;x
EVTDESC39811;As the world is plunged into a period of holy wars, [From.GetTitledName] has called forth the greatest warriors of the land to defend the Nestorian Patriarch. This newly formed order of Saint Addai will safeguard the Nestorian faith against all heathens.;Alors que le monde est plongé dans une période de guerres saintes, [From.GetTitledName] a appelé les plus grands guerriers du pays à défendre le Patriarche nestorien. Cet ordre de saint Addaï protégera la foi nestorienne contre tous les infidèles.;Als die Welt in eine Zeit der heiligen Kriege stürzte, hat [From.GetTitledName] die größten Krieger des Landes ausgerufen, um den nestorianischen Patriarchen zu verteidigen. Dieser neugebildete Orden des Heiligen Thaddeus wird den nestorianischen Glauben gegen alle Heiden schützen.;;Cuando el mundo cae en un periodo de guerras santas, [From.GetTitledName] ha llamado a los mejores guerreros de la región para defender el patriarcado nestoriano. Esta nueva orden de San Addai defenderá la fe nestoriana contra todos los infieles.;;;;;;;;;x
EVTTITLE39811;The Order of Saint Addai;L'Ordre de saint Addaï;Der Orden des Heiligen Thaddeus;;La Orden de San Addai;;;;;;;;;x
EVT_39811_TT;The Order of Saint Addai is formed;L'ordre de saint Addaï est formé;Der Orden des Heiligen Thaddeus wurde gegründet;;Se forma la Orden de San Addai;;;;;;;;;x
manichean_DESC;Manichaeism is a Gnostic religion founded by the alleged Prophet Mani who was put to death by Sassanid Shahanshah Bahram I in 277 A.D. His 'Religion of Light' incorporated elements of Christianity, Zoroastrianism, Buddhism and Gnosticism. In the game, Manichaeism is regarded as Zoroastrian heresy with its own special mechanics. The formal head of the religion is Yamag, who normally resides in Samarkand.;Le manichéisme est une religion gnostique fondée par le prétendu Prophète Mani, mis à mort par le Sassanide Shahanshah Bahram Ier en 277 apr. J.-C. Sa « Religion de la Lumière » incorpore des éléments du christianisme, du zoroastrisme, du bouddhisme et du gnosticisme.\n\nDans le jeu, le manichéisme est considéré comme une hérésie zoroastrienne avec ses propres mécaniques. Le chef officiel de cette religion est l'yamag, qui réside habituellement à Samarcande.;Der Manichäismus ist eine gnostische Religion, die von dem angeblichen Propheten Mani, der von Sassanid Shahanshah Bahram I in 277 n. Chr. zum Tode verurteilt wurde, gegründet wurde. Seine "Religion des Lichts" hat Elemente des Christentums, des Zoroastrianismus, des Buddhismus und des Gnotizismus eingebunden. Im Spiel gilt der Manichäismus als zoroastrische Ketzerei mit eigener Spezialmechanik. Der offizielle Kopf der Religion ist Yamag, der normalerweise in Samarkand wohnt.;;El maniqueísmo es una religión gnóstica fundada por el supuesto profeta Mani que fue ejecutado por el sasánida Shahanshah Bahram I en el año 277 D.C. Su 'religión de la luz' unía elementos del cristianismo, zoroastrianismo, budismo y gnosticismo. En el juego, el maniqueísmo se considera una herejía zoroastriana con sus propias mecánicas especiales. La cabeza formal de la religión es el Yamag, que suele residir en Samarcanda.;;;;;;;;;x
d_manichean;The Manichean Church;Eglise manichéenne;Die manichaistische Kirche;;Iglesia maniquea;;;;;;;;;x
YAMAG;Yamag;Yamag;Yamag;;Yamag;;;;;;;;;x
job_spiritual_manichean;Didaskalos;Didaskalos;Didaskalos;;Didaskalos;;;;;;;;;x
#d_army_light;The Army of Light;Armée de Lumière;Die Armee des Lichts;;El Ejército de la luz;;;;;;;;;x
organize_army_light;Form the Army of Light;Former l'Armée de Lumière;Armee des Lichts gründen;;Forma el Ejército de la luz;;;;;;;;;x
organize_army_light_desc;As the age of Crusades and renewed Jihad looms, it is your duty to call forth warriors to defend the Manichean faith.;À mesure que l'âge des Croisades et du Jihad renouvelé se profile, il est de votre devoir d'appeler les guerriers à défendre la foi manichéenne.;Im Zeitalter wo Kreuzzüge und Dschihads auftauchen, ist es unsere Pflicht, Krieger aufzurufen, um den manichäischen Glauben zu verteidigen.;;Según se avecina la edad de las cruzadas y una jihad renovada, es tu deber convocar guerreros para defender la fe maniquea.;;;;;;;;;x
#d_army_light;The Army of Light;L'Armée de Lumière;Die Armee des Lichts;;El Ejército de la luz;;;;;;;;;x
celebrate_bema_desc;Hold a Bema festival to celebrate life of the prophet Mani.;Organiser une fête de Bêma pour célébrer la vie du Prophète Mani.;Halte ein Bema-Fest ab, um das Leben des Propheten Mani zu feiern.;;Celebra la fiesta del Bema para festejar la vida del profeta Mani.;;;;;;;;;x
bema_celebrations;Holding Bema festival;Organise une fête de Bêma;Hält Bema-Fest ab;;Celebrando el Bema;;;;;;;;;x
EVTDESC39812;Bema is the most important religious event for us Manicheans. It is held in honor of the Prophet Mani and his suffering at the hands of Shahanshah Shapur I. During vernal equinox, we gather to remember the deeds of our prophet.;La fête de Bêma est l'événement religieux le plus important pour nous, les manichéens. Elle est tenue en l'honneur du Prophète Mani et de ses souffrances aux mains de Shahanshah Shapur Ier. Pendant l'équinoxe de printemps, nous nous rassemblons pour nous rappeler les actes de notre prophète.;Das Bema ist das wichtigste religiöse Ereignis für uns Manichaner. Es wird zu Ehren des Propheten Mani und seines Leidens in den Händen von Shahanshah Shapur I abgehalten. Während der Frühlings-Tagundnachtgleiche sammeln wir uns, um uns an die Taten unseres Propheten zu erinnern.;;El Bema es el evento religioso más importante para nosotros, los maniqueos. Se celebra en honor del profeta Mani y su sufrimiento a manos de Shahanshah Shapur I. En el equinoccio de primavera nos reunimos para recordar los hechos de nuestro profeta.;;;;;;;;;x
EVTOPTA39812;Send the invitations.;Envoyer les invitations.;Schickt die Einladungen.;;Enviad las invitaciones;;;;;;;;;x
EVTTOOLTIP_39813;Invitations to the Bema sent;Des invitations au Bêma sont envoyées;Einladungen zur Bema verschickt;;Enviadas invitaciones al Bema;;;;;;;;;x
EVTDESC39813;You have been invited to join your liege, [From.GetTitledFirstName], at the Bema feast [From.GetSheHe] is hosting this year. This ritual dinner is held during vernal equinox and involves remembering the life and death of our Prophet Mani.;Vous avez été invité[Root.GetNoneE] à rejoindre votre [From.GetLordLady] lige, [From.GetTitledFirstName], à la fête de Bêma qu'[From.GetIlElle] organise cette année. Ce dîner rituel se déroule pendant l'équinoxe de printemps et consiste à se souvenir de la vie et de la mort de notre Prophète Mani.;Ihr wurdet eingeladen, Euch Eurem Lehnsherrn [From.GetTitledFirstName] zum diesjährigen Bema-Fest anzuschließen. Dieses rituelle Essen findet während der Frühlings-Tagundnachtgleiche statt und beinhaltet die Erinnerung an das Leben und den Tod unseres Propheten Mani.;;Se te ha invitado a unirte a tu señor, [From.GetTitledFirstName], a la fiesta del Bema que tendrá lugar este año. Esta cena ritual se celebra durante el equinoccio de primavera e implica rememorar la vida y muerte de nuestro profeta Mani.;;;;;;;;;x
EVTOPTA39813;How kind!;Comme c'est gentil!;Wie nett!;;¡Qué amable!;;;;;;;;;x
EVTOPTB39813;Unfortunately, I have other plans.;Malheureusement, j'ai d'autres choses prévues.;Leider habe ich schon andere Pläne.;;Por desgracia tengo otros planes;;;;;;;;;x
EVTDESC39814;[From.GetTitledFirstName] has refused your invitation to the Bema festival, claiming [From.GetSheHe] has other plans.;[From.GetTitledFirstName] a refusé votre invitation à la fête de Bêma, en prétendant qu'[From.GetIlElle] avait d'autres choses prévues.;[From.GetTitledFirstName] lehnte Eure Einladung zum Bema-Fest, mit dem Vorwand andere Pläne zu haben, ab.;;[From.GetTitledFirstName] ha rechazado tu invitación a la fiesta del Bema afirmando que tiene otros planes.;;;;;;;;;x
EVTOPTA39814;I see.;Je vois.;Ich verstehe.;;Entiendo.;;;;;;;;;x
EVTDESC39815;The festival begins. The five-stepped altar has been covered in precious fabrics. Guests have fasted before the festival to purify themselves for the holy occasion. As the Mahistan leading the ceremony kneels in prayer, everyone else does the same and bows their heads.;La fête commence. L'autel en haut de cinq marches a été recouvert de tissus précieux. Les invités ont jeûné avant la fête pour se purifier pour l'événement sacré. Alors que le mahistan menant la cérémonie s'agenouille pour la prière, tout le monde fait de même et s'incline.;Das Fest beginnt. Der fünfstufige Altar ist mit edlen Stoffen bedeckt. Die Gäste haben vor dem Fest gefastet, um sich für den heiligen Anlass zu reinigen. Als der Mahistan, der die Zeremonie führt, für ein Gebet niederkniet, tuen alle anderen selbiges und beugen den Kopf.;;La fiesta comienza. El altar de cinco escalones ha sido cubierto de telas preciosas. Los invitados han ayunado antes de la fiesta para purificarse para la ocasión sagrada. Cuando el mahistan que dirige la ceremonia se inclina para orar, todos hacen lo mismo, inclinando sus cabezas.;;;;;;;;;x
EVTOPTA39815;Glory to Mani!;Gloire à Mani!;Ruhm zu Mani!;;¡Gloria a Mani!;;;;;;;;;x
EVTDESC39816;Bema goes on for a long time, with prayers, remembrance of Mani's deeds and studying of the holy books. All those in attendance feel humbled by the wisdom of our Prophet. Truly, Mani, the Seal of the Prophets, was a blessing for all mankind.;Le Bêma se poursuit avec des prières, le rappel des actes de Mani et l'étude des livres sacrés. Tous ceux qui y assistent se sentent humbles face à la sagesse de notre Prophète. Mani, le Sceau des prophètes, était vraiment une bénédiction pour toute l'humanité.;Das Bema geht eine ganze Zeit, mit Gebeten, Erinnerungen an Manis Taten und dem Studium der heiligen Bücher. Alle, die anwesend sind, fühlen sich durch die Weisheit unseres Propheten demütig. Wahrlich war Mani, das Siegel der Propheten, ein Segen für die ganze Menschheit.;;El Bema continúa durante mucho tiempo con oraciones, recuerdos de los hechos de Mani y estudiando los libros sagrados. Todos los que atienden sienten humildad ante la sabiduría del profeta. Desde luego, Mani, el Sello de los Profetas, fue una bendición para toda la humanidad.;;;;;;;;;x
EVTOPTA39816;Praise Zurvan!;Louons Zurvan !;Lobet Zurvan!;;¡Alabemos a Zurván!;;;;;;;;;x
EVTDESC39817;The Bema lasts well into the night, but all good things must end. You return home to celebrate the rest of Passover, but you and most of the other guests seem to agree that the Bema dinner was well worth the trip.;Le Bêma dure encore une partie de la nuit, mais même les bonnes choses ont une fin. Vous rentrez chez vous pour célébrer le reste de la Pâque, mais vous et la plupart des autres invités semblez convenir que le dîner du Bêma valait bien le voyage.;Das Bema dauerte bis spät in die Nacht, aber alle guten Dinge müssen enden. Ihr kehrt nach Hause zurück, um den Rest des Passahfestes zu feiern. Ihr und die meisten anderen Gäste sind sich aber einig, dass das Bema die Reise wert war. ;;El Bema se alarga mucho en la noche, pero todas las cosas buenas deben acabar. Regresas a casa para celebrar el resto de la Pascua, pero la mayoría de los demás invitados y tú parecen coincidir en que la cena del Bema mereció el viaje.;;;;;;;;;x
opinion_held_bema;Hosted Bema;A organisé un dîner de Bêma;Hielt Bema ab;;Acogió el Bema;;;;;;;;;x
opinion_refused_bema;Refused Bema Invitation;A refusé l'invitation au Bêma;Lehnte Bema-Einladung ab;;Rechazó invitación al Bema.;;;;;;;;;x
celebrate_bema;Celebrate Bema;Célébrer le Bêma;Bema feiern;;Celebró el Bema;;;;;;;;;x
#IS_NOT_LIKED_BY_OFFMAP;$POWER|Y$ does NOT like $LIKE|Y$;$POWER|Y$ n'aime pas $LIKE|Y$;$POWER|Y$ mag $LIKE|Y$ NICHT;;$POWER|Y$ NO le gusta $LIKE|Y$;;;;;;;;;x
#IS_LIKED_BY_OFFMAP;$POWER|Y$ likes $LIKE|Y$;$POWER|Y$ aime $LIKE|Y$;$POWER|Y$ mag $LIKE|Y$;;$POWER|Y$ le gusta $LIKE|Y$;;;;;;;;;x
#IS_NOT_DISLIKED_BY_OFFMAP;$POWER|Y$ does NOT dislike $LIKE|Y$;$POWER|Y$ ne déteste pas $LIKE|Y$;$POWER|Y$ lehnt $LIKE|Y$ NICHT ab;;$POWER|Y$ NO le disgusta $LIKE|Y$;;;;;;;;;x
#IS_DISLIKED_BY_OFFMAP;$POWER|Y$ dislikes $LIKE|Y$;$POWER|Y$ déteste $LIKE|Y$;$POWER|Y$ lehnt $LIKE|Y$ ab;;$POWER|Y$ le disgusta $LIKE|Y$;;;;;;;;;x
likes_concubines;Concubines;les concubines;Konkubinen;;concubinas;;;;;;;;;x
likes_eunuchs;Eunuchs;les eunuques;Eunuchen;;eunucos;;;;;;;;;x
likes_wealth;Wealth;la richesse;Wohlstand;;riquezas;;;;;;;;;x
likes_tributaries;Tributaries;les tributaires;Tributstaaten;;tributarios;;;;;;;;;x
likes_indians;Indian Cultures;les cultures indiennes;indische Kulturen;;culturas indias;;;;;;;;;x
likes_dravidians;Dravidian Cultures;les cultures dravidiennes;dravidianische Kulturen;;culturas dravídicas;;;;;;;;;x
likes_tibetans;Tibetan Cultures;les cultures tibétaines;tibetische Kulturen;;culturas tibetanas;;;;;;;;;x
likes_germanics;Germanic Cultures;les cultures germaniques;germanische Kulturen;;culturas germánicas;;;;;;;;;x
likes_latino_iberians;Latin-Iberian Cultures;les cultures latino-ibériques;latein-spanische Kulturen;;culturas ibericolatinas;;;;;;;;;x
likes_byzantines;Byzantine Cultures;les cultures byzantines;byzantinische Kulturen;;culturas bizantinas;;;;;;;;;x
likes_celts;Celtic Cultures;les cultures celtes;keltische Kulturen;;culturas célticas;;;;;;;;;x
likes_finno_ugrics;Finno-Magyar Cultures;les cultures finno-magyares;finnisch-magrarische Kulturen;;culturas finoúgrias;;;;;;;;;x
likes_altaics;Altaic Cultures;les cultures altaïques;altaische Kulturen;;culturas altaicas;;;;;;;;;x
likes_balto_slavics;Balto-Slavic Cultures;les cultures balto-slaves;baltisch-slawische Kulturen;;culturas baltoeslavas;;;;;;;;;x
likes_arabs;Arabic Cultures;les cultures arabes;arabische Kulturen;;culturas arábigas;;;;;;;;;x
likes_iranians;Iranian Cultures;les cultures iraniennes;iranische Kulturen;;culturas iranias;;;;;;;;;x
likes_africans;African Cultures;les cultures africaines;afrikanische Kulturen;;culturas africanas;;;;;;;;;x
likes_mesoamericans;Mesoamerican Cultures;les cultures mésoaméricaines;mesoamerikanische Kulturen;;culturas mesoamericanas;;;;;;;;;x
likes_muslims;Muslims;les musulmans;Moslems;;musulmanes;;;;;;;;;x
likes_christians;Christians;les chrétiens;Christen;;cristianos;;;;;;;;;x
likes_mazdans;Mazdan Religions;les mazdéens;mazdanische Religionen;;religiones mazdeístas;;;;;;;;;x
likes_zoroastrians;Zoroastrians;les zoroastriens;Zoroastrische;;zoroastrianos;;;;;;;;;x
likes_mazdakis;Mazdakis;les mazdakites;Mazdakische;;mazdekitas;;;;;;;;;x
likes_manicheans;Manicheans;les manichéens;Manichaner;;maniqueos;;;;;;;;;x
likes_khurmaztans;Khurmaztans;les khurmaztans;Khurmaztaner;;khurmaztanos;;;;;;;;;x
likes_buddhists;Buddhists;les bouddhistes;Buddhisten;;budistas;;;;;;;;;x
likes_hindus;Hindus;les hindous;Hindus;;hindúes;;;;;;;;;x
likes_jains;Jains;les jaïns;Jinistische;;jainistas;;;;;;;;;x
likes_tengris;Tengris;les tengristes;Tengri;;tengris;;;;;;;;;x
likes_zunists;Zunists;les zunistes;Zunisten;;zunistas;;;;;;;;;x
likes_jews;Jews;les juifs;Juden;;judíos;;;;;;;;;x
likes_bon;Bön Religion;les bön;bönische Religion;;religión bön;;;;;;;;;x
likes_tt;(§GLikes [This.GetLike]§!);(§GAime [This.GetLike]§!);(§GMag [This.GetLike]§!);;(le §Ggustan [This.GetLike]§!);;;;;;;;;x
dislikes_tt;(§RDislikes [This.GetDislike]§!);(§RDéteste [This.GetDislike]§!);(§RMag keine [This.GetDislike]§!);;(le §Rdisgustan [This.GetDislike]§!);;;;;;;;;x
likes_but_dislikes_tt;(§GLikes [This.GetLike]§! but §RDislikes [This.GetDislike]§!);(§GAime [This.GetLike]§! mais §Rdéteste [This.GetDislike]§!);(§GMag [This.GetLike]§!, aber §Rmag keine [This.GetDislike]§!);;(le §Ggustan [This.GetLike]§! pero le §Rdisgustan [This.GetDislike]§!);;;;;;;;;x
EMPEROR_LIKES_LABEL;The Emperor Likes;L'Empereur aime;Der Kaiser mag;;Al Emperador le gustan;;;;;;;;;x
EMPEROR_DISLIKES_LABEL;The Emperor Dislikes;L'Empereur déteste;Der Kaiser mag keine;;Al Emperador le disgustan;;;;;;;;;x
