#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_inquisitor;the Inquisitor;l'Inquisiteur;[This.Getderdie] Inquisitor[This.GetinFemale];;el Inquisidor;;;;;;;;;x
secret_religious_society_ibadi_desc;The Ibadi faith is said to predate both the Sunni and Shia schools of Islam. There are several doctrinal differences between these later branches and the orthodox Ibadi, for examples, the Ibadi do not believe there has to be one leader for all of the Muslim communities. However, their fervent faith in Allah is the same.;On dit que la foi ibadite est antérieure aux écoles sunnites et chiites de l'islam. Il y a plusieurs différences doctrinales entre ces branches et les ibadites ne croient pas qu'il doit y avoir un seul chef pour toutes les communautés musulmanes. Cependant, leur foi fervente en Allah est la même.;Der Ibadi-Glaube soll älter als die Sunni- und die Shia-Schule des Islam sein. Es bestehen mehrere Unterschiede in der Lehre zwischen diesen späteren Zweigen und den orthodoxen Ibadi. So glauben die Ibadi beispielsweise nicht, dass es für alle mohammedanischen Gemeinden ein einziges Oberhaupt geben muss. Ihr glühender Glaube an Allah ist jedoch derselbe.;;Se dice que la fe ibadí nació antes que las escuelas suní y chií del islam. Hay varias diferencias doctrinales entre estas últimas ramas y los ortodoxos ibadíes. Por ejemplo, los ibadíes no creen que deba haber un solo líder para todas las comunidades musulmanas. Sin embargo, su fervor por Alá es el mismo.;;;;;;;;;x
secret_religious_society_kharijite;the Exchangers;les Échangeurs;die Tauscher;;«los que se salen»;;;;;;;;;x
secret_religious_society_kharijite_desc;The Khawariji follow the teachings of the Quran, believed to have been verbally recited to Muhammed by God. Unlike many other Muslim groups, they believe that any righteous and pious Muslim can become caliph, and that is is their duty to revolt against any ruler who deviates from their interpretation of Islam. Martyrdom and dying for Allah is a strong desire among the Khawariji.;Les kharidjites suivent les enseignements du Coran, censés avoir été verbalement transmis à Mahomet par Dieu. Contrairement à beaucoup d'autres groupes musulmans, ils croient que n'importe quel musulman juste et pieux peut devenir le calife, et c'est leur devoir de se révolter contre tout dirigeant qui s'écarte de leur interprétation de l'islam. Ils sont prêts à mourir en martyre pour Allah.;Die Charidschiten folgen den Lehren des Korans, von denen sie glauben, Mohammed habe sie von Allah selbst erfahren. Im Gegensatz zu anderen mohammedanischen Gruppen glauben die Charidschiten, dass jeder rechtschaffene und fromme Mohammedaner Kalif werden kann und dass es ihre Pflicht ist, sich gegen jeden Herrscher aufzulehnen, der von ihrer Auslegung des Islam abweicht. Das Märtyrertum und der Tod für Allah spielen bei den Charidschiten eine große Rolle.;;Los jariyitas siguen en secreto las enseñanzas del Corán, cuyo contenido se cree que Dios recitó a Mahoma. Al contrario que muchos otros grupos musulmanes, ellos creen que cualquier musulmán recto y piadoso puede convertirse en califa, y que es su deber sublevarse contra cualquier líder que no siga su interpretación del islam. El martirio y la muerte en nombre de Alá son un deseo ferviente entre los jariyitas.;;;;;;;;;x
secret_religious_society_samaritan;the Children of Israel;les Enfants d'Israël;die Kinder Israels;;los hijos de Israel;;;;;;;;;x
secret_religious_society_samaritan_desc;The Samaritans believe that they follow the true religion of the Israelites, as it was before the Babylonian Captivity. Their tenants are similar to those of Judaism, but they have their own version of the Torah and pray facing Mount Gerizim, which they believe is the one true sanctuary chosen by God.;Les samaritains croient qu'ils suivent la vraie religion des israélites, comme c'était le cas avant la captivité babylonienne. Ils ont leur propre version de la Torah et prient face au mont Garizim, qui, selon eux, est le seul sanctuaire choisi par Dieu.;Die Samaritaner glauben, dass sie der wahren Religion der Israeliten folgen, wie sie vor der babylonischen Gefangenschaft beschaffen war. Ihre Lehren ähneln denen des Judentums, aber sie besitzen ihre eigene Version der Tora und wenden sich beim Gebet dem Berg Garizim zu, den sie für den einzig wahren von Gott erwählten heiligen Ort halten.;;Los samaritanos creen que siguen la verdadera religión de los israelitas, tal y como era antes del Cautiverio de Babilonia. Sus principios son similares a los del judaísmo, pero tienen su propia versión de la Torá y rezan hacia el Monte Guerizín, que creen que es el único y verdadero santuario elegido por Dios.;;;;;;;;;x
secret_religious_society_karaite;the Readers;les Lecteurs;die Leser;;los lectores;;;;;;;;;x
secret_religious_society_karaite_desc;Hidden Karaite communities have organized under oppression ever since the time of the Babylonian captivity. These groups welcome both those forced to convert away of Judaism, the Anusim, and those who have secretly become righteous converts, the ger tzedek. A community always cares for its own, knowing that as ages pass, true faith is worth persevering for. God will provide.;Les communautés cachées karaïtes se sont organisées sous l'oppression depuis l'époque de la captivité babylonienne. Ces groupes accueillent à la fois ceux qui ont été forcés d'abandonner le judaïsme, les Anoussim, et ceux qui se sont secrètement convertis, les ger tizedek. Une communauté s'occupe toujours de ses propres, sachant que comme les âges passent, la vraie foi vaut la peine persévérer pour. Dieu fournira.;Seit der babylonischen Gefangenschaft wurden in Zeiten der Unterdrückung immer wieder versteckte Karaitengemeinden gegründet. Diese Gruppen heißen sowohl die Anusim willkommen, die gezwungen wurden, sich vom Judentum abzuwenden, als auch die "ger tzedek", die heimlich zu rechtmäßigen Konvertiten geworden sind. Eine Gemeinde sorgt stets für ihre Angehörigen, da bekannt ist, dass im Lauf der Jahrhunderte wahrer Glaube es wert ist, standhaft an ihm festzuhalten. Gott wird für die Seinen sorgen.;;Comunidades karaítas secretas se han organizado bajo la opresión desde los tiempos del Cautiverio de Babilonia. Estos grupos incluyen tanto a aquellos obligados a dejar la fe judía, los anusim, como a aquellos que han pasado a ser rectos conversos en secreto, los ger tzedek. Una comunidad siempre cuida de los suyos, sabiendo que con el paso del tiempo, vale la pena preservar la fe verdadera. Dios proveerá.;;;;;;;;;x
secret_religious_society_mazdaki;the Mazdaki Faithful;les Mazdakites;die Mazdakiten;;los fieles mazdekitas;;;;;;;;;x
secret_religious_society_mazdaki_desc;The Mazdaki believe that there are two original principles of the universe - the good Light and the evil Darkness. By a cosmic accident, the two has been mixed, and everything is tainted but God. Mankind's purpose is to spread the wisdom of their benevolent God and releasing their own inner Light through good conduct and kind actions.;Les mazdakites croient qu'il y a deux principes à l'origine de l'univers - la bonne Lumière et les Ténèbres maléfiques. Par un accident cosmique, les deux ont été mélangés, et tout est entaché sauf Dieu. Le but de l'humanité est de répandre la sagesse de leur Dieu bienveillant et de libérer leur propre Lumière intérieure par les bonnes actions.;Die Mazdakiten glauben, dass es zwei ursprüngliche Grundprinzipien des Universums gibt: das gute Licht und die böse Finsternis. Durch einen kosmischen Unfall wurden diese beiden Prinzipien vermischt und ist alles außer Gott befleckt. Der Zweck der Menschheit besteht darin, die Weisheit ihres wohlwollenden Gottes zu verbreiten und durch einen guten Lebenswandel und gute Taten ihr eigenes inneres Licht freizusetzen.;;Los mazdekitas creen que hay dos principios originales en el universo, uno benigno (la Luz) y otro maligno (la Oscuridad). Un accidente cósmico provocó que se mezclasen, volviéndolo todo impuro, salvo a Dios. El objetivo de la humanidad es dar a conocer la sabiduría de su benévolo Dios y liberar su propia Luz interior mediante la buena conducta y la bondad.;;;;;;;;;x
secret_religious_society_manichean;the Manichean Faithful;les Manichéens;die Manichäisten;;los fieles maniqueos;;;;;;;;;x
secret_religious_society_manichean_desc;The Manicheans believe that there are two original principles of the universe - the good Light and the evil Darkness. By a cosmic accident, the two has been mixed, and everything is tainted but God. Mankind's purpose is to spread the wisdom of their benevolent God and releasing their own inner Light through good conduct and kind actions.;Les mazdakites croient qu'il y a deux principes à l'origine de l'univers - la bonne Lumière et les Ténèbres maléfiques. Par un accident cosmique, les deux ont été mélangés, et tout est entaché sauf Dieu. Le but de l'humanité est de répandre la sagesse de leur Dieu bienveillant et de libérer leur propre Lumière intérieure par les bonnes actions.;Die Manichäisten glauben, dass es zwei ursprüngliche Grundprinzipien des Universums gibt: das gute Licht und die böse Finsternis. Durch einen kosmischen Unfall wurden diese beiden Prinzipien vermischt und ist alles außer Gott befleckt. Der Zweck der Menschheit besteht darin, die Weisheit ihres wohlwollenden Gottes zu verbreiten und durch einen guten Lebenswandel und gute Taten ihr eigenes inneres Licht freizusetzen.;;Los maniqueos creen que hay dos principios originales en el universo, uno benigno (la Luz) y otro maligno (la Oscuridad). Un accidente cósmico provocó que se mezclasen, volviéndolo todo impuro, salvo a Dios. El objetivo de la humanidad es dar a conocer la sabiduría de su benévolo Dios y liberar su propia Luz interior mediante la buena conducta y la bondad.;;;;;;;;;x
secret_religious_society_norse_pagan;the Oathkeepers of Old;les Gardiens de l'Ancien;die Schwurhalter von einst;;los antiguos guardajuramentos;;;;;;;;;x
secret_religious_society_baltic_pagan;the Chosen of Dievas;les Élus de Dievas;die Erwählten von Dievas;;los elegidos de Dievas;;;;;;;;;x
secret_religious_society_finnish_pagan;the Axes of Ukko;les Haches d'Ukko;die Äxte von Ukko;;las hachas de Ukko;;;;;;;;;x
secret_religious_society_slavic_pagan;the Warriors of Perun;les Guerriers de Péroun;die Krieger von Perun;;los guerreros de Perún;;;;;;;;;x
secret_religious_society_tengri_pagan;the Arrows of Tengri;les Flèches de Tengri;die Pfeile von Tengri;;las flechas de Tengri;;;;;;;;;x
secret_religious_society_aztec;the Hidden Flame;la Flamme cachée;die verborgene Flamme;;la Llama Oculta;;;;;;;;;x
secret_religious_society_aztec_desc;The faithful Aztecs bravely worship their high God, the warrior Huitzilopochtli, despite being surrounded by enemies on every side. If they stay true and send him human sacrifices as gifts, he will lead them to a new dawn, a glorious conquest of fire and blood.;Les fidèles aztèques adorent courageusement leur grand Dieu, le guerrier Huitzilopochtli, bien qu'entourés d'ennemis. S'ils lui restent fidèles et envoient des sacrifices humains, il les conduira à une nouvelle aurore, une conquête glorieuse du feu et du sang.;Die gläubigen Azteken verehren tapfer ihren höchsten Gott, den Krieger Huitzilopochtli, obwohl sie auf allen Seiten von Feinden bedrängt werden. Wenn sie ihrem Glauben treu sind und ihm Menschenopfer darbringen, wird er sie zu einer neuen Morgendämmerung führen, einer glorreichen Eroberung von Feuer und Blut.;;Los fervientes aztecas veneran valerosamente a su dios, el guerrero Huitzilopochtli, a pesar de verse completamente rodeados por sus enemigos. Si mantienen su fe y le envían sacrificios humanos como obsequio, los liderará hasta un nuevo comienzo, una conquista gloriosa de fuego y sangre.;;;;;;;;;x
secret_religious_society_aztec_reformed;the Children of the Sun;les Enfants du Soleil;die Kinder der Sonne;;los hijos del Sol;;;;;;;;;x
secret_religious_society_aztec_reformed_desc;The faithful Aztecs bravely worship their high God, the warrior Huitzilopochtli, despite being surrounded by enemies on every side. If they stay true and send him human sacrifices as gifts, he will lead them to a new dawn, a glorious conquest of fire and blood.;Les fidèles aztèques adorent courageusement leur grand Dieu, le guerrier Huitzilopochtli, bien qu'entourés d'ennemis. S'ils lui restent fidèles et envoient des sacrifices humains, il les conduira à une nouvelle aurore, une conquête glorieuse du feu et du sang.;Die gläubigen Azteken verehren tapfer ihren höchsten Gott, den Krieger Huitzilopochtli, obwohl sie auf allen Seiten von Feinden bedrängt werden. Wenn sie ihrem Glauben treu sind und ihm Menschenopfer darbringen, wird er sie zu einer neuen Morgendämmerung führen, einer glorreichen Eroberung von Feuer und Blut.;;Los fervientes aztecas veneran valerosamente a su dios, el guerrero Huitzilopochtli, a pesar de verse completamente rodeados por sus enemigos. Si mantienen su fe y le envían sacrificios humanos como obsequio, los liderará hasta un nuevo comienzo, una conquista gloriosa de fuego y sangre.;;;;;;;;;x
secret_religious_society_west_african_pagan;the Spirit Warriors;les Guerriers de l'Esprit;die Geistkrieger;;los guerreros espirituales;;;;;;;;;x
secret_religious_society_zun_pagan;the Flames of Zun;les Flammes de Zun;die Flammen von Zun;;las llamas de Zun;;;;;;;;;x
String_Fire_and_blood;Fire and blood;Feu et sang;Feuer und Blut;;Fuego y sangre;;;;;;;;;x
String_Huitzilopochtlis_strength_to_you;Huitzilopochtli's strength to you;La force de Huitzilopochtli pour vous;Die Kraft von Huitzilopochtli sei mit Euch;;la fuerza de Huitzilopochtli a ti;;;;;;;;;x
String_hummingbird_symbol;hummingbird symbol;un symbole de colibri;Kolibrisymbol;;símbolo del colibrí;;;;;;;;;x
String_Cathar;Cathar;cathare;Katharer;;cátaro;;;;;;;;;x
String_Fraticelli;Fraticelli;fraticelle;Fraticelli;;fraticelli;;;;;;;;;x
String_Waldesian;Waldesian;vaudois;Waldenser;;waldesiano;;;;;;;;;x
String_Lollard;Lollard;lollarde;Lollard;;lolardo;;;;;;;;;x
String_Bogomilist;Bogomilist;Bogomile;Bogomil;;bogomilo;;;;;;;;;x
String_Monothelite;Monothelite;monothélite;Monothelit;;monotelita;;;;;;;;;x
String_Iconoclast;Iconoclast;iconoclaste;Bilderstürmer;;iconoclasta;;;;;;;;;x
String_Paulician;Paulician;paulicienne;Paulikianer;;pauliciano;;;;;;;;;x
String_Miaphysite;Miaphysite;miaphysite;Miaphysit;;miafisita;;;;;;;;;x
String_Monophysite;Monophysite;monophysite;Monophysit;;monofisita;;;;;;;;;x
String_Nestorian;Nestorian;nestorienne;Nestorianer;;nestoriano;;;;;;;;;x
String_Messalian;Messalian;messalienne;Messalianer;;mesaliano;;;;;;;;;x
